piso_id,m2_edificados,m2_útiles,n_habitaciones,n_baños,planta,precio_alquiler,precio_zona,necesita_reforma,nueva_construcción,año_construción,ascensor,exterior,aparcamiento,precio_aparcamiento,orientación,precio
187,135.0,,4,2,3,,5852,1,0,,0,1,0,,desconocido,790000
188,110.0,,2,2,4,1496.0,3864,0,0,,1,1,1,0.0,desconocido,425000
189,300.0,,5,4,-1,0.0,6500,0,0,1960.0,1,1,1,0.0,desconocido,1950000
190,105.0,,2,2,5,1428.0,3762,0,0,1960.0,1,1,0,,este,395000
191,254.0,200.0,4,2,-1,2265.0,3012,0,0,1991.0,1,0,0,,desconocido,765000
192,138.0,125.0,4,2,4,1896.0,4347,1,0,1951.0,1,1,0,,este,599900
193,55.0,,2,1,5,917.0,3636,0,0,1966.0,1,1,0,,desconocido,200000
194,125.0,117.0,3,2,3,2330.0,6384,0,0,,1,1,0,,este,798000
195,46.0,,2,1,1,,2587,0,0,,0,1,0,,sur,119000
196,60.0,50.0,2,1,2,697.0,2298,0,0,1970.0,0,1,0,,sur,137900
197,179.0,,5,5,1,2510.0,5581,0,0,,0,1,0,,desconocido,999000
198,131.0,103.0,3,2,1,1790.0,4229,0,0,1981.0,1,1,0,,desconocido,554000
199,55.0,,1,1,5,1238.0,5727,0,0,,0,0,0,,este,315000
200,157.0,,4,2,5,2295.0,4968,0,0,,1,1,1,0.0,desconocido,780000
201,74.0,66.0,2,1,-1,721.0,1946,1,0,1960.0,0,1,0,,desconocido,144000
202,213.0,200.0,4,2,2,1059.0,6103,0,0,,1,1,1,0.0,este,1300000
203,87.0,,4,2,4,1358.0,4195,1,0,,1,0,0,,desconocido,365000
204,174.0,,4,2,6,2035.0,3793,1,0,,1,0,0,,desconocido,660000
205,115.0,,3,2,3,2192.0,6348,0,0,,1,1,0,,este,730000
206,90.0,82.0,1,2,-1,884.0,2111,1,0,1919.0,0,1,0,,oeste,190000
207,181.0,,4,2,1,0.0,8564,0,0,,1,1,1,0.0,oeste,1550000
208,35.0,30.0,2,1,2,487.0,2529,0,0,1948.0,0,0,0,,este,88500
209,40.0,,2,1,1,894.0,4825,0,0,,0,0,0,,desconocido,193000
210,101.0,95.0,3,2,1,1320.0,3455,0,0,1967.0,1,1,0,,norte,349000
211,116.0,105.0,4,2,6,1192.0,2560,0,0,1998.0,1,1,1,0.0,este,297000
212,179.0,,5,5,1,,5581,1,0,,1,1,0,,desconocido,999000
213,86.0,76.0,3,1,4,662.0,1500,0,0,1984.0,1,0,0,,sur,129000
214,51.0,,3,1,4,648.0,2463,0,0,1968.0,0,1,0,,desconocido,125599
215,217.0,,4,2,2,2056.0,3083,0,0,1976.0,1,1,1,0.0,desconocido,669000
216,79.0,73.0,1,1,5,1299.0,4304,0,0,,1,1,0,,sur,340000
217,71.0,66.0,1,1,1,,6197,0,0,2007.0,1,1,0,,sur,440000
218,203.0,,5,3,2,1695.0,6059,0,0,,1,1,1,0.0,desconocido,1230000
219,67.0,,1,1,3,1712.0,7761,0,1,,1,1,1,0.0,desconocido,520000
220,110.0,,3,2,5,1701.0,4682,1,0,1970.0,1,1,1,40000.0,desconocido,515000
221,78.0,68.0,3,1,1,686.0,1731,0,0,1984.0,1,1,0,,desconocido,135000
222,88.0,,2,2,1,1576.0,5227,0,1,,1,1,1,0.0,desconocido,460000
223,82.0,80.0,4,4,1,901.0,2378,1,0,,0,1,0,,desconocido,195000
224,153.0,135.0,4,2,2,1296.0,2216,0,0,1989.0,1,1,1,0.0,este,339000
225,70.0,,3,1,2,798.0,2356,0,0,,1,1,0,,desconocido,164900
226,161.0,,4,3,3,2417.0,5280,0,0,,1,1,0,,desconocido,850000
227,210.0,,5,4,5,0.0,10476,1,0,,1,1,0,,desconocido,2200000
228,75.0,,1,1,-1,1542.0,5933,0,0,1930.0,1,1,0,,sur,445000
229,80.0,65.0,1,1,7,1508.0,5375,0,0,,1,1,0,,sur,430000
230,92.0,,2,2,2,1462.0,4457,0,0,,1,1,1,0.0,este,410000
231,43.0,42.0,2,2,5,1262.0,7558,0,0,1930.0,1,0,0,,este,325000
232,91.0,,3,1,2,1767.0,5978,0,0,1900.0,0,1,0,,oeste,544000
233,164.0,,4,2,1,1779.0,3348,0,0,,1,1,1,25000.0,norte,549000
234,109.0,,3,2,4,982.0,2026,0,1,,1,1,1,0.0,desconocido,220879
235,86.0,75.0,3,2,-1,,4070,0,0,1960.0,1,1,0,,sur,350000
236,43.0,,1,1,1,964.0,5000,0,0,1900.0,1,0,0,,este,215000
237,80.0,,2,1,5,884.0,2374,0,0,2006.0,1,1,1,0.0,desconocido,189900
238,130.0,,3,2,1,1655.0,3808,0,0,2006.0,1,1,1,0.0,este,495000
239,361.0,289.0,6,4,6,,4848,1,0,,1,1,1,0.0,este,1750000
240,71.0,,1,1,1,1249.0,4502,0,0,2020.0,1,1,0,,este,319644
241,43.0,,1,1,-1,933.0,4767,1,0,1950.0,1,0,0,,desconocido,205000
242,111.0,102.0,4,2,1,1689.0,4595,0,0,,1,1,0,,este,510000
243,100.0,89.0,3,2,1,948.0,2100,0,0,1986.0,1,1,0,,oeste,210000
244,33.0,29.0,1,1,2,833.0,5303,0,0,1900.0,0,1,0,,este,175000
245,262.0,,5,3,2,2516.0,3664,0,0,1973.0,1,1,1,0.0,desconocido,960000
246,146.0,145.0,4,2,3,1848.0,3966,1,0,1970.0,1,1,1,10000.0,sur,579000
247,80.0,72.0,3,1,5,1346.0,4500,1,0,,1,0,0,,desconocido,360000
248,104.0,82.0,3,2,2,1528.0,4221,0,0,2002.0,1,1,1,0.0,desconocido,439000
249,62.0,,2,1,-1,,3194,0,0,2019.0,0,0,0,,sur,198000
250,181.0,,3,3,4,0.0,7845,0,1,,1,1,0,,desconocido,1420000
251,76.0,,2,2,2,861.0,2408,0,1,,1,1,1,0.0,sur,183000
252,72.0,,1,1,7,,6806,0,0,,1,1,0,,este,490000
253,101.0,,4,2,5,1621.0,4752,0,0,1987.0,1,1,1,0.0,este,480000
254,63.0,59.0,3,1,5,408.0,1143,1,0,1965.0,0,1,0,,desconocido,72000
255,157.0,123.0,2,2,3,1900.0,7643,0,0,,1,1,0,,desconocido,1200000
256,183.0,150.0,3,2,1,2470.0,4863,0,0,1890.0,1,1,1,0.0,desconocido,890000
257,102.0,,2,2,7,1213.0,2990,0,0,,1,1,0,,sur,305000
258,205.0,,4,3,1,2165.0,5610,0,0,,1,1,1,0.0,desconocido,1150000
259,172.0,157.0,2,2,2,0.0,9297,0,0,,1,1,0,,desconocido,1599000
260,65.0,60.0,3,1,-1,717.0,2200,0,0,,0,1,0,,sur,143000
261,110.0,,3,2,3,788.0,1473,0,0,,0,1,1,0.0,desconocido,162000
262,56.0,53.0,3,1,2,736.0,2643,1,0,1960.0,0,1,0,,desconocido,148000
263,142.0,,4,2,1,,4190,1,0,1960.0,0,1,1,0.0,este,595000
264,72.0,67.0,3,1,6,703.0,1936,0,0,1961.0,1,1,0,,desconocido,139400
265,61.0,60.0,3,1,3,917.0,3279,0,0,,0,1,0,,sur,200000
266,100.0,88.0,4,1,6,1451.0,4050,1,0,1956.0,1,1,0,,este,405000
267,140.0,,3,2,6,1687.0,3636,1,0,,1,1,0,,oeste,509000
268,182.0,172.0,3,2,3,0.0,9066,0,0,1900.0,1,1,0,,oeste,1650000
269,159.0,,3,2,3,1558.0,2843,0,0,,1,1,0,,sur,452000
270,226.0,150.0,5,3,2,2295.0,3451,0,0,1960.0,1,1,1,0.0,desconocido,780000
271,83.0,76.0,3,2,-1,,1916,1,0,1969.0,0,1,0,,sur,159000
272,48.0,,1,1,-1,1200.0,6250,0,0,,1,1,1,0.0,sur,300000
273,96.0,,4,1,6,777.0,1656,1,0,1966.0,1,1,0,,desconocido,159000
274,70.0,59.0,2,1,-1,833.0,2500,0,0,1964.0,1,1,0,,este,175000
275,107.0,,3,2,6,1005.0,2137,0,1,,1,1,1,0.0,desconocido,228629
276,94.0,,2,2,1,1758.0,5745,0,0,,1,1,0,,oeste,540000
277,75.0,,1,1,2,1485.0,5600,0,0,2004.0,1,1,0,,este,420000
278,140.0,135.0,3,1,8,2103.0,4929,0,0,,1,1,0,,este,690000
279,80.0,,3,2,6,1148.0,3500,1,0,1966.0,1,1,0,,este,280000
280,140.0,130.0,3,2,-1,1664.0,3564,0,0,,1,1,0,,desconocido,499000
281,260.0,199.0,4,3,1,2510.0,3842,0,0,1971.0,1,1,0,,sur,999000
282,124.0,,3,2,2,2012.0,5242,1,0,1957.0,1,1,1,0.0,sur,650000
283,57.0,,3,1,3,541.0,1760,1,0,1960.0,0,1,0,,desconocido,100300
284,110.0,102.0,4,2,-1,1621.0,4364,0,0,,1,1,1,0.0,sur,480000
285,60.0,,3,1,5,913.0,3317,1,0,,1,1,0,,oeste,199000
286,30.0,26.0,1,1,3,398.0,2333,1,0,1960.0,0,0,0,,desconocido,70000
287,110.0,,2,2,1,1655.0,4500,1,0,,1,0,0,,desconocido,495000
288,236.0,,5,4,5,,4237,0,0,1982.0,1,1,1,0.0,este,1000000
289,170.0,,4,3,4,,4412,0,0,1994.0,1,1,1,0.0,sur,750000
290,270.0,,6,5,1,1960.0,4407,0,0,1880.0,1,1,0,,norte,1190000
291,71.0,65.0,3,1,2,1142.0,3908,0,0,1960.0,0,1,0,,desconocido,277500
292,137.0,111.0,4,2,6,1633.0,3540,0,0,2004.0,1,1,1,15000.0,sur,485000
293,145.0,,3,3,7,2047.0,4586,0,0,1942.0,1,1,0,,sur,665000
294,120.0,95.0,3,2,4,1485.0,3500,1,0,,1,1,0,,este,420000
295,393.0,,5,5,4,0.0,6107,1,0,,1,1,1,45000.0,sur,2400000
296,107.0,85.0,3,2,1,1624.0,4496,0,0,2020.0,1,1,0,,sur,481050
297,298.0,266.0,4,4,1,2347.0,3691,0,0,1974.0,1,1,1,0.0,oeste,1100000
298,344.0,,4,4,2,0.0,5273,0,0,,1,1,1,0.0,desconocido,1814000
299,185.0,,4,3,1,2315.0,4270,0,1,,1,1,0,,desconocido,790000
300,87.0,,2,2,1,1712.0,5977,0,0,1900.0,1,1,0,,sur,520000
301,91.0,,3,2,-1,,2692,0,1,,1,1,1,0.0,desconocido,245000
302,117.0,,3,2,1,,2092,0,1,,1,1,1,0.0,desconocido,244798
303,75.0,66.0,4,1,1,913.0,2653,1,0,1965.0,0,0,0,,este,199000
304,135.0,,3,2,3,2324.0,5889,0,0,1900.0,1,1,0,,este,795000
305,55.0,44.0,3,1,1,777.0,2891,1,0,1960.0,1,1,0,,norte,159000
306,126.0,,3,2,5,1346.0,2857,0,0,,1,1,0,,desconocido,360000
307,133.0,,3,1,7,1862.0,4398,1,0,,1,1,0,,sur,585000
308,69.0,,2,1,1,,5435,0,0,,1,1,0,,desconocido,375000
309,90.0,85.0,3,2,1,1170.0,3205,0,0,,1,1,1,0.0,sur,288486
310,78.0,,1,1,3,1633.0,6218,0,0,,0,1,0,,este,485000
311,87.0,68.0,2,2,5,942.0,2391,0,0,,1,1,1,0.0,desconocido,208000
312,60.0,58.0,2,1,1,901.0,3250,0,0,,1,1,0,,este,195000
313,60.0,54.0,1,1,1,1174.0,4833,0,0,,1,0,0,,desconocido,290000
314,199.0,,4,3,1,2386.0,4171,0,0,1960.0,1,1,1,0.0,este,830000
315,159.0,,4,3,1,2024.0,4119,0,0,,1,1,1,0.0,este,655000
316,150.0,130.0,3,2,2,2417.0,5667,0,0,1902.0,1,1,0,,este,850000
317,55.0,,3,1,4,744.0,2727,0,0,1960.0,0,1,0,,desconocido,150000
318,134.0,,3,2,2,1735.0,3955,0,0,,1,1,1,0.0,desconocido,530000
319,84.0,,3,1,4,1284.0,3976,0,0,1959.0,1,1,0,,sur,334000
